Climate zone;Stationsname;Stations_ID;Kennung;Stationskennung;Breite;Laenge;Stationshöhe;Flussgebiet;Bundesland;Beginn;Ende;Stations_ID_5stlg.;Dateiname;Zone;2045-Dwnld
1;Bremerhaven;701;EB;1468;53.5332;8.5761;7;565440;HB;11.02.1998;29.03.2020;00701;tageswerte_KL_00701;1;JT
2;Rostock-Warnemünde;4271;EB;3014;54.1803;12.0808;4;236700;MV;01.11.1991;29.03.2020;04271;tageswerte_KL_04271;2;TH
3;Hamburg-Fuhlsbüttel;1975;EB;1459;53.6332;9.9881;14;487580;HH;01.01.1961;29.03.2020;01975;tageswerte_KL_01975;3;TH
4;Potsdam;3987;EB;3342;52.3813;13.0622;81;470100;BB;01.11.1991;29.03.2020;03987;tageswerte_KL_03987;4;TH
5;Essen-Bredeney;1303;EB;1190;51.4041;6.9677;150;789670;NW;01.01.1951;29.03.2020;01303;tageswerte_KL_01303;5;TH
6;Marienberg, Bad;3167;EB;2249;50.6620;7.9602;547;780590;RP;01.01.1986;29.03.2020;03167;tageswerte_KL_03167;6;TH
7;Neukirchen-Hauptschwenda;3527;KL;2618;50.8920;9.4050;500;514260;HE;01.01.1947;29.03.2020;03527;tageswerte_KL_00197;7;TH
8;Braunlage;656;EB;3984;51.7234;10.6021;607;444120;NI;01.01.1966;29.03.2020;00656;tageswerte_KL_00656;8;TH
9;Chemnitz;853;EB;4412;50.7913;12.8720;418;421300;SN;01.11.1991;29.03.2020;00853;tageswerte_KL_00853;9;JT
10;Hof;2261;EB;4027;50.3122;11.8761;565;430220;BY;01.01.1951;29.03.2020;02261;tageswerte_KL_02261;10;JT
11;Fichtelberg;1358;EB;4428;50.4283;12.9535;1213;420360;SN;01.11.1991;29.03.2020;01358;tageswerte_KL_01358;11;JT
12;Mannheim;5906;EB;2695;49.5062;8.5585;98;721020;BW;01.01.1981;29.03.2020;05906;tageswerte_KL_05906;12;TH
13;Fürstenzell;5856;EB;4890;48.5451;13.3531;476;926260;BY;03.01.1997;29.03.2020;05856;tageswerte_KL_05856;13;JT
14;Stötten;4887;EB;2728;48.6656;9.8648;734;711410;BW;01.01.1986;29.03.2020;04887;tageswerte_KL_04887;14;JT
15;Garmisch-Partenkirchen;1550;EB;4156;47.4830;11.0621;719;920410;BY;01.01.1986;29.03.2020;01550;tageswerte_KL_01550;15;JT
